tid;invoicedate;invoiceduedate;subtotal;shipping;discount;tax;Total ;pmethod;notes;status;csd;eid;pamnt;items;taxstatus;discstatus;format_discount;refer;television;combo ;punto;term;rec;ron;multi;saldo anterior 
21559;05/02/2021;28/02/2021;10833;0;0;0;10833;;;due;12964;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-14167
21560;05/02/2021;28/02/2021;46008;0;0;3992;50000;;;due;12965;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;25000
21561;05/02/2021;28/02/2021;12000;0;0;0;12000;;;due;12966;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-13000
21562;05/02/2021;28/02/2021;53008;0;0;3992;57000;;;due;12967;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;32000
21563;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12968;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21564;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12969;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21565;05/02/2021;28/02/2021;32008;0;0;3992;36000;;;due;12970;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;11000
21566;05/02/2021;28/02/2021;-9821;0;0;0;-9821;Cash;;paid;12971;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-34821
21567;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12972;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21568;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12973;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21569;05/02/2021;28/02/2021;26333;0;0;0;26333;;;due;12974;26;;2;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Suspendido;0;-28667
21570;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12975;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21571;05/02/2021;28/02/2021;19500;0;0;0;19500;;;due;12976;26;;2;yes;0;%;Villanueva;Television;3MegasV;no;0;no;Suspendido;0;-25500
21572;05/02/2021;28/02/2021;68008;0;0;3992;72000;;;due;12977;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;47000
21573;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;12978;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21574;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;12979;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21575;05/02/2021;28/02/2021;23008;0;0;3992;27000;;;due;12980;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;2000
21576;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;12981;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21577;05/02/2021;28/02/2021;42008;0;0;3992;46000;;;due;12982;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;21000
21578;05/02/2021;28/02/2021;74008;0;0;3992;78000;;;due;12983;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;53000
21579;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12984;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21580;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12985;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21581;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;12986;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21582;05/02/2021;28/02/2021;2500;0;0;0;2500;;;due;12987;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-22500
21583;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;12988;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21584;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12989;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21585;05/02/2021;28/02/2021;50847;0;0;3992;54839;;;due;12990;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;29839
21586;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12991;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21587;05/02/2021;28/02/2021;8065;0;0;0;8065;;;due;12992;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-16935
21588;05/02/2021;28/02/2021;62008;0;0;3992;66000;;;due;12993;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;41000
21589;05/02/2021;28/02/2021;12000;0;0;0;12000;;;due;12994;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-13000
21590;05/02/2021;28/02/2021;47008;0;0;3992;51000;;;due;12995;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;26000
21591;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;12996;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21592;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12997;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21593;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12998;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21594;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;12999;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21595;05/02/2021;28/02/2021;1613;0;0;0;1613;;;due;13000;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-23387
21596;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13001;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21597;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;13002;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21598;05/02/2021;28/02/2021;-833;0;0;0;-833;Cash;;paid;13003;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25833
21599;05/02/2021;28/02/2021;32008;0;0;3992;36000;;;due;13004;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;11000
21600;05/02/2021;28/02/2021;15000;0;0;0;15000;;;due;13005;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-10000
21601;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13006;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21602;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13007;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21603;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;13008;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21604;05/02/2021;28/02/2021;18000;0;0;0;18000;;;due;13009;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-7000
21605;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;13010;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21606;05/02/2021;28/02/2021;18000;0;0;0;18000;;;due;13011;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-7000
21607;05/02/2021;28/02/2021;10833;0;0;0;10833;;;due;13012;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-14167
21608;05/02/2021;28/02/2021;39008;0;0;3992;43000;;;due;13013;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;18000
21609;05/02/2021;28/02/2021;57008;0;0;3992;61000;;;due;13014;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;36000
21610;05/02/2021;28/02/2021;25000;0;0;0;25000;;;due;13015;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;0
21611;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13016;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21612;05/02/2021;28/02/2021;7258;0;0;0;7258;;;due;13017;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-17742
21613;05/02/2021;28/02/2021;31841;0;0;3992;35833;;;due;13018;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;10833
21614;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13019;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21615;05/02/2021;28/02/2021;110008;0;0;3992;114000;;;due;13020;26;;3;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Suspendido;0;59000
21616;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13021;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21617;05/02/2021;28/02/2021;10833;0;0;0;10833;;;due;13022;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-14167
21618;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13023;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21619;05/02/2021;28/02/2021;9167;0;0;0;9167;;;due;13024;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-15833
21620;05/02/2021;28/02/2021;-1045;0;0;0;-1045;Cash;;paid;13025;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-26045
21621;05/02/2021;28/02/2021;24000;0;0;0;24000;;;due;13026;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-1000
21622;05/02/2021;28/02/2021;32008;0;0;3992;36000;;;due;13027;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;11000
21623;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;13028;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21624;05/02/2021;28/02/2021;80008;0;0;3992;84000;;;due;13029;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;59000
21625;05/02/2021;28/02/2021;3226;0;0;0;3226;;;due;13030;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-21774
21626;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13031;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21627;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13032;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21628;05/02/2021;28/02/2021;68008;0;0;3992;72000;;;due;13033;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;47000
21629;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;13034;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21630;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;13035;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21631;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13036;26;;2;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Suspendido;0;-55000
21632;05/02/2021;28/02/2021;4677;0;0;0;4677;;;due;13037;26;;2;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Suspendido;0;-50323
21633;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;13038;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21634;05/02/2021;28/02/2021;12000;0;0;0;12000;;;due;13039;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-13000
21635;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;13040;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21636;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13041;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21637;05/02/2021;28/02/2021;22621;0;0;3992;26613;;;due;13042;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;1613
21638;05/02/2021;28/02/2021;25000;0;0;0;25000;;;due;13043;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;0
21639;05/02/2021;28/02/2021;44008;0;0;3992;48000;;;due;13044;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;23000
21640;05/02/2021;28/02/2021;32008;0;0;3992;36000;;;due;13045;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;11000
21641;05/02/2021;28/02/2021;0;0;0;0;0;Cash;;paid;13046;26;;1;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;-25000
21642;05/02/2021;28/02/2021;-9167;0;0;0;-9167;Cash;;paid;13047;26;;2;yes;0;%;Villanueva;Television;5MegasV;no;0;no;Suspendido;0;-64167
21643;05/02/2021;28/02/2021;34667;0;0;0;34667;;;due;13048;26;;2;yes;0;%;Villanueva;Television;10Megasv;no;0;no;Suspendido;0;-45333
21644;05/02/2021;28/02/2021;56008;0;0;3992;60000;;;due;13049;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;35000
21645;05/02/2021;28/02/2021;80008;0;0;3992;84000;;;due;13050;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;59000
21646;05/02/2021;28/02/2021;59008;0;0;3992;63000;;;due;13051;26;;2;yes;0;%;Villanueva;Television;no;no;0;no;Suspendido;0;38000
